Date,trading_time,score
2014-07-16,2014-07-16 09:30:00+00:00,-0.048240909090909084
2014-07-17,2014-07-17 09:30:00+00:00,-0.02145135135135135
2014-07-18,2014-07-18 09:30:00+00:00,0.038919999999999996
2014-07-21,2014-07-21 09:30:00+00:00,-0.03114375000000001
2014-07-22,2014-07-22 09:30:00+00:00,0.024528571428571427
2014-07-23,2014-07-23 09:30:00+00:00,0.06292758620689655
2014-07-24,2014-07-24 09:30:00+00:00,0.10111803278688526
2014-07-25,2014-07-25 09:30:00+00:00,-0.03620232558139535
2014-07-28,2014-07-28 09:30:00+00:00,0.021890384615384617
2014-07-29,2014-07-29 09:30:00+00:00,0.03480294117647059
2014-07-30,2014-07-30 09:30:00+00:00,-0.03250000000000001
2014-07-31,2014-07-31 09:30:00+00:00,0.024678571428571435
2014-08-01,2014-08-01 09:30:00+00:00,-0.03302380952380953
2014-08-04,2014-08-04 09:30:00+00:00,0.15078163265306127
2014-08-05,2014-08-05 09:30:00+00:00,0.025675
2014-08-06,2014-08-06 09:30:00+00:00,0.04907272727272727
2014-08-07,2014-08-07 09:30:00+00:00,-0.15333773584905658
2014-08-08,2014-08-08 09:30:00+00:00,0.05568823529411765
2014-08-11,2014-08-11 09:30:00+00:00,-0.2181088235294118
2014-08-12,2014-08-12 09:30:00+00:00,0.1377307692307692
2014-08-13,2014-08-13 09:30:00+00:00,0.036596226415094336
2014-08-14,2014-08-14 09:30:00+00:00,0.002800000000000004
2014-08-15,2014-08-15 09:30:00+00:00,0.02577619047619047
2014-08-18,2014-08-18 09:30:00+00:00,-0.10236666666666665
2014-08-19,2014-08-19 09:30:00+00:00,0.046418181818181824
2014-08-20,2014-08-20 09:30:00+00:00,0.16574285714285716
2014-08-21,2014-08-21 09:30:00+00:00,0.037028571428571425
2014-08-22,2014-08-22 09:30:00+00:00,0.01584374999999999
2014-08-25,2014-08-25 09:30:00+00:00,0.05246530612244901
2014-08-26,2014-08-26 09:30:00+00:00,0.08425882352941176
2014-08-27,2014-08-27 09:30:00+00:00,0.06423333333333332
2014-08-28,2014-08-28 09:30:00+00:00,-0.01420277777777778
2014-08-29,2014-08-29 09:30:00+00:00,0.023500000000000007
2014-09-01,2014-09-01 09:30:00+00:00,-0.024261250000000012
2014-09-02,2014-09-02 09:30:00+00:00,-0.0030204081632653106
2014-09-03,2014-09-03 09:30:00+00:00,-0.07736590909090908
2014-09-04,2014-09-04 09:30:00+00:00,-0.0523343434343434
2014-09-05,2014-09-05 09:30:00+00:00,-0.08873432835820896
2014-09-08,2014-09-08 09:30:00+00:00,0.0021786259541984785
2014-09-09,2014-09-09 09:30:00+00:00,0.03250520833333333
2014-09-10,2014-09-10 09:30:00+00:00,0.03438360323886635
2014-09-11,2014-09-11 09:30:00+00:00,0.05616904761904764
2014-09-12,2014-09-12 09:30:00+00:00,0.007172477064220177
2014-09-15,2014-09-15 09:30:00+00:00,-0.021130120481927715
2014-09-16,2014-09-16 09:30:00+00:00,0.0681978494623656
2014-09-17,2014-09-17 09:30:00+00:00,0.06850689655172414
2014-09-18,2014-09-18 09:30:00+00:00,0.05379574468085104
2014-09-19,2014-09-19 09:30:00+00:00,0.010210619469026553
2014-09-22,2014-09-22 09:30:00+00:00,0.0043084415584415635
2014-09-23,2014-09-23 09:30:00+00:00,-0.01235633802816902
2014-09-24,2014-09-24 09:30:00+00:00,-0.054789361702127656
2014-09-25,2014-09-25 09:30:00+00:00,-0.025201562499999997
2014-09-26,2014-09-26 09:30:00+00:00,-0.061826027397260286
2014-09-29,2014-09-29 09:30:00+00:00,-0.048341599999999985
2014-09-30,2014-09-30 09:30:00+00:00,-0.14958285714285713
2014-10-01,2014-10-01 09:30:00+00:00,-0.0049710843373494025
2014-10-02,2014-10-02 09:30:00+00:00,-0.0890225
2014-10-03,2014-10-03 09:30:00+00:00,-0.06682307692307693
2014-10-06,2014-10-06 09:30:00+00:00,-0.007066176470588235
2014-10-07,2014-10-07 09:30:00+00:00,0.04058863636363637
2014-10-08,2014-10-08 09:30:00+00:00,-0.0024333333333333242
2014-10-09,2014-10-09 09:30:00+00:00,0.10410468750000001
2014-10-10,2014-10-10 09:30:00+00:00,0.11707575757575754
2014-10-13,2014-10-13 09:30:00+00:00,0.014737681159420282
2014-10-14,2014-10-14 09:30:00+00:00,-0.03306999999999998
2014-10-15,2014-10-15 09:30:00+00:00,-0.05012439024390244
2014-10-16,2014-10-16 09:30:00+00:00,-0.05107374999999999
2014-10-20,2014-10-20 09:30:00+00:00,0.046944021739130426
2014-10-21,2014-10-21 09:30:00+00:00,0.03723736263736264
2014-10-22,2014-10-22 09:30:00+00:00,0.07137391304347825
2014-10-23,2014-10-23 09:30:00+00:00,-0.008044303797468354
2014-10-24,2014-10-24 09:30:00+00:00,0.10317000000000003
2014-10-27,2014-10-27 09:30:00+00:00,0.10160144927536233
2014-10-28,2014-10-28 09:30:00+00:00,-0.11937608695652173
2014-10-29,2014-10-29 09:30:00+00:00,-0.048357500000000005
2014-10-30,2014-10-30 09:30:00+00:00,-0.12914
2014-10-31,2014-10-31 09:30:00+00:00,0.19762500000000005
2014-11-03,2014-11-03 09:30:00+00:00,0.06476024096385542
2014-11-04,2014-11-04 09:30:00+00:00,0.025025000000000013
2014-11-05,2014-11-05 09:30:00+00:00,0.07825294117647057
2014-11-06,2014-11-06 09:30:00+00:00,0.012446153846153846
2014-11-07,2014-11-07 09:30:00+00:00,0.011540624999999997
2014-11-10,2014-11-10 09:30:00+00:00,-0.1488076923076923
2014-11-11,2014-11-11 09:30:00+00:00,-0.15885428571428573
2014-11-12,2014-11-12 09:30:00+00:00,-0.18776470588235286
2014-11-13,2014-11-13 09:30:00+00:00,0.002254545454545461
2014-11-14,2014-11-14 09:30:00+00:00,-0.11990769230769228
2014-11-17,2014-11-17 09:30:00+00:00,0.05990249999999999
2014-11-19,2014-11-19 09:30:00+00:00,0.008549999999999999
2014-11-20,2014-11-20 09:30:00+00:00,0.06348275862068967
2014-11-21,2014-11-21 09:30:00+00:00,0.10323409090909096
2014-11-24,2014-11-24 09:30:00+00:00,0.08174666666666669
2014-11-25,2014-11-25 09:30:00+00:00,0.028510526315789476
2014-11-26,2014-11-26 09:30:00+00:00,0.16054285714285715
2014-11-27,2014-11-27 09:30:00+00:00,0.045296153846153854
2014-11-28,2014-11-28 09:30:00+00:00,-0.000390000000000007
2014-12-01,2014-12-01 09:30:00+00:00,0.04246666666666667
2014-12-02,2014-12-02 09:30:00+00:00,0.03264473684210526
2014-12-03,2014-12-03 09:30:00+00:00,-0.07898275862068967
2014-12-04,2014-12-04 09:30:00+00:00,0.09591851851851853
